EstablishmentID,InspectionID,Ins_TypeDesc,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,InspectionDate,score,Grade,NameSearch,Intersection,ObjectId
32786,1730426,REGULAR,LASSITER MIDDLE SCHOOL,,8200 CANDLEWORTH DR,,LOUISVILLE,KY,40214,SCHOOL CAFETERIA OR FOOD SERVICE,2023-01-23,100,A,LASSITER MIDDLE SCHOOL,,531
32785,1744620,REGULAR,KNIGHT MIDDLE SCHOOL,,9803 BLUE LICK RD,,LOUISVILLE,KY,40229,SCHOOL CAFETERIA OR FOOD SERVICE,2023-03-28,100,A,KNIGHT MIDDLE SCHOOL,,529
116860,1754911,REGULAR,BLUE BAY SEAFOOD SUSHI,,4322 POPLAR LEVEL RD,,LOUISVILLE,KY,40213,FOOD SERVICE,2023-05-11,100,A,BLUE BAY SEAFOOD SUSHI,,10501
32783,1734814,REGULAR,MARTIN LUTHER KING SCHOOL,,4325 VERMONT AVE,,LOUISVILLE,KY,40211,SCHOOL CAFETERIA OR FOOD SERVICE,2023-02-13,100,A,MARTIN LUTHER KING SCHOOL,,527
116821,1710911,OTHER,STARBUCKS #65508,,7718 BARDSTOWN RD STE 101,,LOUISVILLE,KY,40291,FOOD SERVICE,2022-09-26,100,,STARBUCKS #65508,,10503
116689,1707232,OTHER,VALHALLA GOLF CLUB,,15503 SHELBYVILLE RD,,LOUISVILLE,KY,40245,FOOD SERVICE,2022-09-08,100,,VALHALLA GOLF CLUB,,10504
32783,1700816,REGULAR,MARTIN LUTHER KING SCHOOL,,4325 VERMONT AVE,,LOUISVILLE,KY,40211,SCHOOL CAFETERIA OR FOOD SERVICE,2022-09-12,100,A,MARTIN LUTHER KING SCHOOL,,526
117231,1724468,OTHER,CAFE OLAM,,3600 DUTCHMANS LN,,LOUISVILLE,KY,40205,FOOD SERVICE,2022-11-18,100,,CAFE OLAM,,10506
32781,1698956,REGULAR,KLONDIKE ELEMENTARY SCHOOL,,3807 KLONDIKE LN,,LOUISVILLE,KY,40218,SCHOOL CAFETERIA OR FOOD SERVICE,2022-09-02,100,A,KLONDIKE ELEMENTARY SCHOOL,,524
32780,1734846,REGULAR,KERRICK ELEMENTARY SCHOOL,,2210 UPPER HUNTERS TRACE,,LOUISVILLE,KY,40216,SCHOOL CAFETERIA OR FOOD SERVICE,2023-02-13,100,A,KERRICK ELEMENTARY SCHOOL,,523
117258,1725377,OTHER,LOADED TATERS,,3410 BASHFORD AVE CT STE 2,,LOUISVILLE,KY,40218,FOOD SERVICE,2022-12-02,100,,LOADED TATERS,,10510
32780,1696179,REGULAR,KERRICK ELEMENTARY SCHOOL,,2210 UPPER HUNTERS TRACE,,LOUISVILLE,KY,40216,SCHOOL CAFETERIA OR FOOD SERVICE,2022-08-23,100,A,KERRICK ELEMENTARY SCHOOL,,522
117259,1725384,OTHER,LSM THE SILLY AXE CAFE,,1001 LOGAN ST STE 121-122,,LOUISVILLE,KY,40204,FOOD SERVICE,2022-12-07,100,,LSM THE SILLY AXE CAFE,,10512
32779,1732263,REGULAR,KENWOOD ELEMENTARY SCHOOL,,7420 JUSTAN AVE,,LOUISVILLE,KY,40214,SCHOOL CAFETERIA OR FOOD SERVICE,2023-01-30,100,A,KENWOOD ELEMENTARY SCHOOL,,521
117260,1725386,OTHER,HAWTHORN SUITES LOUISVILLE EAST,,751 CYPRESS STATION DR,,LOUISVILLE,KY,40207,FOOD SERVICE,2022-12-07,100,,HAWTHORN SUITES LOUISVILLE EAST,,10514
117260,1729150,REGULAR,HAWTHORN SUITES LOUISVILLE EAST,,751 CYPRESS STATION DR,,LOUISVILLE,KY,40207,FOOD SERVICE,2023-01-17,100,A,HAWTHORN SUITES LOUISVILLE EAST,,10515
117260,1758342,REGULAR,HAWTHORN SUITES LOUISVILLE EAST,,751 CYPRESS STATION DR,,LOUISVILLE,KY,40207,FOOD SERVICE,2023-05-24,100,A,HAWTHORN SUITES LOUISVILLE EAST,,10516
117261,1728783,REGULAR,UNCLE D'S FRANKS,,6409 BARDSTOWN RD,,LOUISVILLE,KY,40291,FOOD SERVICE,2023-01-12,100,A,UNCLE D'S FRANKS,,10517
117262,1730724,REGULAR,MCDONALD'S,,2209 TAYLORSVILLE RD,,LOUISVILLE,KY,40205,FOOD SERVICE,2023-01-24,100,A,MCDONALD'S,,10519
116639,1710983,REGULAR,GEORGIAS SWEET POTATO PIE,,,,PROSPECT,KY,40059,TEMPORARY FOODS,2022-10-01,100,,GEORGIAS SWEET POTATO PIE,,10392
