,Name,Rating,Review Count,Price,Address
321,Shiraz Mediterranean Grill,4.0,108,$$,"1565 Bardstown Rd, Louisville, KY 40205"
322,Frankfort Avenue Beer Depot,4.0,309,$$,"3204 Frankfort Ave, Louisville, KY 40206"
323,Bambi Bar,4.5,76,$,"2701 Bardstown Rd, Louisville, KY 40205"
324,La Palma,5.0,13,,"5614 Preston Hwy, Louisville, KY 40213"
325,Rafferty's of Louisville,3.5,142,$$,"988 Breckenridge Ln, Louisville, KY 40207"
326,Vic's Cafe,4.5,25,$,"1839 E Market St, New Albany, IN 47150"
327,Anoosh Bistro,4.5,131,$$$,"4864 Brownsboro Ctr, Windy Hills, KY 40207"
328,Bred And Bourbon,5.0,1,,"101 W Muhammad Ali Blvd, Louisville, KY 40202"
329,Sol Aztecas Mexican Restaurant,3.0,112,$$,"2427 Bardstown Rd, Louisville, KY 40205"
330,Bourbon Bent  BBQ,4.5,13,$,"Louisville, KY 40206"
331,Geraldines Kitchen,4.0,105,$,"402 Wall St, Jeffersonville, IN 47130"
332,Ricky B's Club Cafe,5.0,13,,"2901 Brownsboro Rd, Louisville, KY 40206"
333,Union 15,4.0,116,$$,"816 W Kenwood Dr, Louisville, KY 40214"
334,Caffe Classico,4.0,129,$$,"2144 Frankfort Ave, Louisville, KY 40206"
